year	UF         growth                  IR
2006	18152.61    5.20038003784155      3.0
2007    18627.89    3.79032075476692      0.5
2008    20260.76    2.42625274040375      1.3
2009    20930.92   -2.60145285012567      6.4
2010    21204.99    4.75024210331583      2.9
2011    21892.81    5.05770836528396      2.3
2012    22627.36    4.3091939890372       4.3
2013    22852.67    3.03157349101788      2.7
2014    24026.01    0.69252260881253      2.5
2015    24984.62    1.10598439800134      1.0
2016    26053.81    0.37209873055130      1.5
2017    26665.98   -0.24725135873195      2.6
2018    27161.48    2.28112103492523      1.6
2019    27908.86   -0.24503575688501      2.1
2020    28695.46   -6.58075571515938      1.0
2021    29712.80    7                    -0.3



















